model,threshold,precision,recall,f1
logreg,0.0,0.03785024007779736,1.0,0.07293969518176362
logreg,0.02040816326530612,0.03785024007779736,1.0,0.07293969518176362
logreg,0.04081632653061224,0.037855752858185356,0.9995985547972702,0.07294886255438206
logreg,0.061224489795918366,0.037855752858185356,0.9995985547972702,0.07294886255438206
logreg,0.08163265306122448,0.037855752858185356,0.9995985547972702,0.07294886255438206
logreg,0.1020408163265306,0.037829947694927625,0.9987956643918106,0.07289881187828712
logreg,0.12244897959183673,0.037829947694927625,0.9987956643918106,0.07289881187828712
logreg,0.14285714285714285,0.03783109813581486,0.9987956643918106,0.07290094788812869
logreg,0.16326530612244897,0.03783109813581486,0.9987956643918106,0.07290094788812869
logreg,0.18367346938775508,0.03777716944976731,0.9971898835808912,0.07279654187119936
logreg,0.2040816326530612,0.037796713329275713,0.9971898835808912,0.07283282754980869
logreg,0.22448979591836732,0.0408092804861207,0.9490164592533119,0.07825352951885996
logreg,0.24489795918367346,0.04469207981008809,0.9144921718185468,0.08521940817777113
logreg,0.26530612244897955,0.04551693512575189,0.9052589321557607,0.08667576345780563
logreg,0.2857142857142857,0.04642548982469432,0.8855881172219991,0.08822588385858263
logreg,0.3061224489795918,0.04836176190792239,0.8775592131674026,0.09167155917134949
logreg,0.32653061224489793,0.049568519157749395,0.8647129666800482,0.09376224263265573
logreg,0.3469387755102041,0.051825014076231975,0.8498594941790446,0.09769266266728195
logreg,0.36734693877551017,0.05344570635695565,0.8350060216780409,0.10046125238474728
logreg,0.3877551020408163,0.05537733797303175,0.8177438779606584,0.10373010821133036
logreg,0.4081632653061224,0.06271069944031683,0.7691690084303493,0.11596659000121051
logreg,0.42857142857142855,0.07516891891891891,0.7145724608590928,0.13602842841312904
logreg,0.44897959183673464,0.0793037629521905,0.7005218787635488,0.14247805674627476
logreg,0.4693877551020408,0.08266304874503343,0.6848655158570855,0.14752042889878508
logreg,0.4897959183673469,0.08541016324650734,0.6700120433560819,0.15150689905591866
logreg,0.5102040816326531,0.08905013192612138,0.6503412284223203,0.15665038920852875
